基準点コード,等級種別,冠字,選点番号,基準点名,ワンストップ可否,登録年月日,成果区分,北緯,東経,標高,楕円体高,標高区分,平面直角座標系,X,Y,現況状態,現況年月日,都道府県名,自治体名
TR44831754601,四等三角点,Ｋ平,７１,逢瀬,○,20250401,世界測地系（測地成果2024）,323700.9875,1314228.7684,120.97,,,2,-42256.124,66442.552,正常,20091106,宮崎県,延岡市
TR44831754801,四等三角点,Ｋ平,７３,石伸,○,20250401,世界測地系（測地成果2024）,323725.4482,1314405.7494,257.03,,,2,-41485.503,68965.548,報告なし,00000000,宮崎県,延岡市
TR44831754901,四等三角点,Ｋ平,７５,山の神,○,20250401,世界測地系（測地成果2024）,323716.2552,1314442.8367,222.14,,,2,-41761.941,69934.294,報告なし,20010111,宮崎県,延岡市
TR44831755001,四等三角点,Ｋ平,９３,向水流,○,20250401,世界測地系（測地成果2024）,323730.9334,1313807.2319,236.16,,,2,-41376.795,59619.050,報告なし,00000000,宮崎県,延岡市
TR44831755201,四等三角点,Ｋ平,８１,長尾山,○,20250401,世界測地系（測地成果2024）,323742.8107,1313927.9045,382.14,,,2,-40998.147,61719.638,正常,20020512,宮崎県,延岡市
TR44831755401,四等三角点,Ｋ平,１０４,田上山,○,20250401,世界測地系（測地成果2024）,323734.4456,1314105.3085,74.57,,,2,-41239.776,64260.193,正常,20091106,宮崎県,延岡市
TR44831755601,四等三角点,Ｋ平,９４,十郎,○,20250401,世界測地系（測地成果2024）,323737.1603,1314202.3663,119.90,,,2,-41146.460,65746.929,正常,20091106,宮崎県,延岡市
TR44831755902,四等三角点,Ｋ共,２,甫場,○,20250401,世界測地系（測地成果2024）,323754.3202,1314455.8159,175.70,,,2,-40587.048,70264.372,報告なし,20001003,宮崎県,延岡市
TR44831756101,四等三角点,Ｋ平,９２,大峡山,○,20250401,世界測地系（測地成果2024）,323825.0869,1313856.8295,309.35,,,2,-39700.905,60901.695,報告なし,00000000,宮崎県,延岡市
TR44831756501,四等三角点,Ｋ平,９０,三足,○,20250401,世界測地系（測地成果2024）,323809.8180,1314127.6079,60.14,,,2,-40146.443,64834.370,正常,20091106,宮崎県,延岡市
TR44831756601,四等三角点,Ｋ平,８０,長井,○,20250401,世界測地系（測地成果2024）,323811.3823,1314242.0888,324.38,,,2,-40085.442,66775.280,正常,20020512,宮崎県,延岡市
TR44831756801,四等三角点,Ｋ平,７４,折川内,○,20250401,世界測地系（測地成果2024）,323823.0783,1314413.9754,175.21,,,2,-39708.839,69167.659,報告なし,19931110,宮崎県,延岡市
TR44831756802,四等三角点,査,１,長谷,○,20250401,世界測地系（測地成果2024）,323822.3835,1314338.9531,229.22,,,2,-39736.534,68255.037,報告なし,19930627,宮崎県,延岡市
TR44831757301,四等三角点,Ｋ平,１０２,差木野,○,20250401,世界測地系（測地成果2024）,323837.6317,1313958.0058,366.63,,,2,-39304.619,62493.658,報告なし,19640708,宮崎県,延岡市
TR44831757401,四等三角点,Ｋ平,８９,俵野,○,20250401,世界測地系（測地成果2024）,323857.3931,1314046.8337,197.10,,,2,-38687.849,63762.276,報告なし,00000000,宮崎県,延岡市
TR44831757901,四等三角点,Ｋ平,１００,浦城,○,20250401,世界測地系（測地成果2024）,323856.5611,1314440.3337,80.39,,,2,-38672.675,69847.393,報告なし,00000000,宮崎県,延岡市
TR44831758601,四等三角点,Ｋ平,９９,小平方,○,20250401,世界測地系（測地成果2024）,323905.9609,1314213.4394,205.21,,,2,-38409.236,66017.440,正常,20091106,宮崎県,延岡市
TR44831758701,四等三角点,Ｋ平,８８,柿ノ尻,○,20250401,世界測地系（測地成果2024）,323917.7807,1314255.2935,119.93,,,2,-38037.862,67105.663,正常,20031125,宮崎県,延岡市
TR44831759001,四等三角点,Ｋ平,７８,小中尾,○,20250401,世界測地系（測地成果2024）,323942.4218,1313808.4176,440.96,,,2,-37326.405,59625.718,報告なし,00000000,宮崎県,延岡市
TR44831759301,四等三角点,Ｋ平,１０６,二本杉,○,20250401,世界測地系（測地成果2024）,323933.1322,1314013.6477,585.44,,,2,-37592.479,62890.511,報告なし,00000000,宮崎県,延岡市
TR44831759501,四等三角点,Ｋ平,７７,狐窪,○,20250401,世界測地系（測地成果2024）,323950.3341,1314128.5834,201.79,,,2,-37050.087,64839.640,正常,20031125,宮崎県,延岡市
TR44831759801,四等三角点,Ｋ平,８５,広野山,○,20250401,世界測地系（測地成果2024）,323958.4901,1314343.0124,211.20,,,2,-36775.432,68340.519,報告なし,20001003,宮崎県,延岡市
TR44831764001,四等三角点,Ｋ平,６８,安井山,○,20250401,世界測地系（測地成果2024）,323704.2706,1314516.4822,167.56,,,2,-42124.914,70813.984,報告なし,00000000,宮崎県,延岡市
TR44831765101,四等三角点,Ｋ平,７０,磯の松山,○,20250401,世界測地系（測地成果2024）,323748.5242,1314555.2528,119.01,,,2,-40754.543,71814.874,報告なし,20001003,宮崎県,延岡市
TR44831767001,四等三角点,Ｋ平,１０７,片角,○,20250401,世界測地系（測地成果2024）,323857.2832,1314537.0557,150.96,,,2,-38639.959,71325.400,正常,20031031,宮崎県,延岡市
TR44831768101,四等三角点,Ｋ平,８７,魚見山,○,20250401,世界測地系（測地成果2024）,323926.3890,1314609.9904,60.49,,,2,-37737.226,72177.176,正常,20060811,宮崎県,延岡市
TR44831769001,四等三角点,Ｋ平,７９,仲畑,○,20250401,世界測地系（測地成果2024）,323934.6065,1314503.9891,267.18,,,2,-37496.417,70455.559,報告なし,19640705,宮崎県,延岡市
TR44931033801,四等三角点,Ｋ幸,４,村山,○,20250401,世界測地系（測地成果2024）,324138.9931,1312848.3858,895.94,,,2,-33812.389,45017.433,報告なし,19890921,宮崎県,延岡市
TR44931034901,四等三角点,Ｋ幸,３,高畑,○,20250401,世界測地系（測地成果2024）,324210.3061,1312917.5486,703.79,,,2,-32844.398,45772.573,報告なし,19890921,宮崎県,延岡市
TR44931035801,四等三角点,Ｋ天,３,杉原,○,20250401,世界測地系（測地成果2024）,324255.0006,1312851.7099,863.43,,,2,-31470.760,45093.392,報告なし,19890921,宮崎県,延岡市
TR44931042901,四等三角点,Ｋ昭,１０,入道石,○,20250401,世界測地系（測地成果2024）,324122.9607,1313706.5380,209.58,,,2,-34239.041,57995.343,報告なし,20011220,宮崎県,延岡市
TR44931044001,四等三角点,Ｋ幸,２,今村,○,20250401,世界測地系（測地成果2024）,324214.7234,1313030.1916,868.48,,,2,-32699.443,47663.813,報告なし,19890921,宮崎県,延岡市
TR44931044801,四等三角点,Ｋ昭,９,鹿無ヶ内山,○,20250401,世界測地系（測地成果2024）,324213.7910,1313639.9123,282.09,,,2,-32677.339,57292.781,報告なし,20011220,宮崎県,延岡市
TR44931046101,四等三角点,Ｋ幸,１,鹿川越,○,20250401,世界測地系（測地成果2024）,324304.0588,1313045.1236,993.91,,,2,-31177.902,48045.346,報告なし,19890921,宮崎県,延岡市
TR44931046801,四等三角点,Ｋ昭,８,大鹿倉山,○,20250401,世界測地系（測地成果2024）,324309.5061,1313626.8483,652.57,,,2,-30963.099,56942.716,報告なし,20011220,宮崎県,延岡市
TR44931049601,四等三角点,Ｋ総,２,相海山,○,20250401,世界測地系（測地成果2024）,324430.3571,1313508.0581,1032.78,,,2,-28484.186,54877.328,正常,20060809,宮崎県,延岡市
TR44931049801,四等三角点,Ｋ中,３,二ツ滝山,○,20250401,世界測地系（測地成果2024）,324450.1787,1313627.0959,323.46,,,2,-27862.032,56931.383,報告なし,20040818,宮崎県,延岡市
TR44931049901,四等三角点,Ｋ昭,４,龍子山,○,20250401,世界測地系（測地成果2024）,324431.7422,1313717.2757,310.67,,,2,-28422.357,58240.944,正常,20040630,宮崎県,延岡市
TR44931050201,四等三角点,Ｋ平,９７,仲ノ内,○,20250401,世界測地系（測地成果2024）,324023.8436,1313904.9845,543.21,,,2,-36041.558,61091.790,報告なし,19640713,宮崎県,延岡市
TR44931050301,四等三角点,Ｋ平,８４,板ケ内,○,20250401,世界測地系（測地成果2024）,324019.1759,1314009.6648,410.12,,,2,-36174.852,62777.786,報告なし,19640713,宮崎県,延岡市
TR44931050501,四等三角点,Ｋ九,８,日の谷,○,20250401,世界測地系（測地成果2024）,324025.6628,1314129.3546,120.56,,,2,-35961.725,64852.645,正常,20041126,宮崎県,延岡市
TR44931050901,四等三角点,Ｋ共,１,浦尻,○,20250401,世界測地系（測地成果2024）,324009.2831,1314428.9706,197.86,,,2,-36434.682,69535.630,報告なし,20001003,宮崎県,延岡市
TR44931051701,四等三角点,Ｋ平,１０１,大内門,○,20250401,世界測地系（測地成果2024）,324031.4891,1314252.1288,125.94,,,2,-35767.973,67007.915,正常,20031125,宮崎県,延岡市
TR44931051801,四等三角点,Ｋ平,７６,伊勢戸,○,20250401,世界測地系（測地成果2024）,324039.7853,1314400.7502,187.71,,,2,-35500.227,68793.882,正常,20041126,宮崎県,延岡市
TR44931051901,四等三角点,Ｋ正,４,家田,○,20250401,世界測地系（測地成果2024）,324059.1925,1314419.8507,286.53,,,2,-34898.970,69287.316,報告なし,19941031,宮崎県,延岡市
TR44931052001,四等三角点,Ｋ九,６,長谷ケ内,○,20250401,世界測地系（測地成果2024）,324129.5725,1313807.9598,617.44,,,2,-34025.922,59594.023,報告なし,20011220,宮崎県,延岡市
TR44931052301,四等三角点,Ｋ九,７,森谷,○,20250401,世界測地系（測地成果2024）,324102.0897,1313947.7282,458.39,,,2,-34856.567,62198.010,報告なし,19850624,宮崎県,延岡市
TR44931052601,四等三角点,Ｋ甲,１５,川坂,○,20250401,世界測地系（測地成果2024）,324102.1444,1314220.5336,251.33,,,2,-34829.202,66178.514,正常,20031125,宮崎県,延岡市
TR44931053401,四等三角点,Ｋ甲,１４,小木口,○,20250401,世界測地系（測地成果2024）,324157.7235,1314040.0402,237.74,,,2,-33134.261,63549.764,報告なし,19810714,宮崎県,延岡市
TR44931053501,四等三角点,群,３,サイレン山,○,20250401,世界測地系（測地成果2024）,324131.1309,1314139.0284,108.17,,,2,-33943.460,65091.477,正常,20030613,宮崎県,延岡市
TR44931053601,四等三角点,Ｋ甲,１３,市ヶ迫,○,20250401,世界測地系（測地成果2024）,324159.6526,1314240.3336,342.15,,,2,-33054.321,66682.419,報告なし,19810715,宮崎県,延岡市
TR44931053801,四等三角点,Ｋ正,１,水無山,○,20250401,世界測地系（測地成果2024）,324149.9984,1314406.7533,310.86,,,2,-33336.353,68935.283,報告なし,19941031,宮崎県,延岡市
TR44931053901,四等三角点,Ｋ正,２,風呂ヶ迫,○,20250401,世界測地系（測地成果2024）,324130.9166,1314449.1357,326.34,,,2,-33916.422,70043.308,報告なし,19970820,宮崎県,延岡市
TR44931054101,四等三角点,Ｋ九,４,滝下山,○,20250401,世界測地系（測地成果2024）,324216.7826,1313853.8079,335.26,,,2,-32564.480,60779.351,報告なし,19850624,宮崎県,延岡市
TR44931054201,四等三角点,Ｋ九,５,木口山,○,20250401,世界測地系（測地成果2024）,324211.2865,1313943.4439,426.25,,,2,-32725.790,62073.102,報告なし,19850623,宮崎県,延岡市
TR44931055301,四等三角点,群,１,長原山,○,20250401,世界測地系（測地成果2024）,324244.2399,1313951.2931,218.51,,,2,-31709.443,62271.167,報告なし,19840712,宮崎県,延岡市
TR44931055401,四等三角点,群,２,屋形原,○,20250401,世界測地系（測地成果2024）,324233.2781,1314039.0879,175.11,,,2,-32039.226,63517.963,正常,20030613,宮崎県,延岡市
TR44931055601,四等三角点,Ｋ甲,１１,足久,○,20250401,世界測地系（測地成果2024）,324250.3092,1314236.9550,241.57,,,2,-31494.523,66583.971,正常,20030613,宮崎県,延岡市
TR44931055801,四等三角点,Ｋ甲,１２,田ノ原,○,20250401,世界測地系（測地成果2024）,324232.6365,1314345.2321,381.00,,,2,-32026.829,68365.714,報告なし,19810711,宮崎県,延岡市
TR44931055901,四等三角点,維,１４,黒猪,○,20250401,世界測地系（測地成果2024）,324234.8829,1314443.9049,512.23,,,2,-31947.006,69893.207,報告なし,19970820,宮崎県,延岡市
TR44931056001,四等三角点,Ｋ昭,７,椎葉谷山,○,20250401,世界測地系（測地成果2024）,324326.0836,1313741.8522,487.29,,,2,-30441.075,58892.724,報告なし,20011220,宮崎県,延岡市
TR44931056501,四等三角点,Ｋ甲,１０,深瀬,○,20250401,世界測地系（測地成果2024）,324316.5727,1314130.2682,427.52,,,2,-30697.005,64842.109,報告なし,19810714,宮崎県,延岡市
TR44931057201,四等三角点,Ｋ昭,６,河原ヶ内山,○,20250401,世界測地系（測地成果2024）,324356.0944,1313929.7391,234.04,,,2,-29499.597,61696.127,正常,20120823,宮崎県,延岡市
TR44931057301,四等三角点,Ｋ九,３,木和田山,○,20250401,世界測地系（測地成果2024）,324332.4338,1314025.9852,332.68,,,2,-30219.215,63165.156,正常,20031031,宮崎県,延岡市
TR44931057701,四等三角点,Ｋ九,２,石原山,○,20250401,世界測地系（測地成果2024）,324348.4494,1314301.3507,186.60,,,2,-29699.333,67207.141,報告なし,19850622,宮崎県,延岡市
TR44931057801,四等三角点,Ｋ甲,９,西ノ脇,○,20250401,世界測地系（測地成果2024）,324330.9688,1314342.5728,218.00,,,2,-30230.474,68284.111,正常,20120823,宮崎県,延岡市
TR44931058101,四等三角点,Ｋ昭,５,杖突山,○,20250401,世界測地系（測地成果2024）,324403.7846,1313827.3807,196.83,,,2,-29272.667,60071.164,報告なし,20011220,宮崎県,延岡市
TR44931058501,四等三角点,Ｋ九,１,惣下,○,20250401,世界測地系（測地成果2024）,324401.8422,1314122.2029,442.57,,,2,-29303.923,64623.026,報告なし,19850622,宮崎県,延岡市
TR44931058701,四等三角点,Ｋ甲,７,尾平,○,20250401,世界測地系（測地成果2024）,324427.6876,1314316.5885,328.91,,,2,-28487.969,67595.647,報告なし,19810708,宮崎県,延岡市
TR44931058901,四等三角点,Ｋ甲,８,小橋,○,20250401,世界測地系（測地成果2024）,324414.2675,1314441.5397,373.52,,,2,-28886.051,69810.096,報告なし,19810711,宮崎県,延岡市
TR44931059101,四等三角点,Ｋ昭,３,清蔵ヶ内山,○,20250401,世界測地系（測地成果2024）,324438.4736,1313841.5640,425.60,,,2,-28201.894,60433.921,報告なし,20011220,宮崎県,延岡市
TR44931059501,四等三角点,Ｋ甲,６,桑ヶ内,○,20250401,世界測地系（測地成果2024）,324439.3935,1314139.2492,446.13,,,2,-28144.318,65059.248,報告なし,19980830,宮崎県,延岡市
TR44931060101,四等三角点,Ｋ平,９８,塔ノ内,○,20250401,世界測地系（測地成果2024）,324025.4425,1314611.2497,185.50,,,2,-35917.950,72196.799,報告なし,19640701,宮崎県,延岡市
TR44931061201,四等三角点,前,３,中学校,○,20250401,世界測地系（測地成果2024）,324036.9466,1314659.8638,2.66,,,2,-35554.318,73460.714,不明,19990205,宮崎県,延岡市
TR44931062001,四等三角点,Ｋ正,３,須美江,○,20250401,世界測地系（測地成果2024）,324113.2013,1314540.5610,268.18,,,2,-34452.589,71386.720,報告なし,19941031,宮崎県,延岡市
TR44931062101,四等三角点,Ｋ亜,２,中村,○,20250401,世界測地系（測地成果2024）,324122.5439,1314627.7987,173.99,,,2,-34155.900,72615.108,報告なし,19941031,宮崎県,延岡市
TR44931062201,四等三角点,前,２,熊野江,○,20250401,世界測地系（測地成果2024）,324104.4262,1314711.6937,4.22,,,2,-34705.574,73762.630,正常,20031031,宮崎県,延岡市
TR44931062501,四等三角点,頼,２,阿蘇東谷,○,20250401,世界測地系（測地成果2024）,324129.9137,1314845.6165,127.97,,,2,-33902.030,76203.273,正常,20040806,宮崎県,延岡市
TR44931063201,四等三角点,前,１,別府,○,20250401,世界測地系（測地成果2024）,324137.1451,1314703.5192,70.53,,,2,-33699.297,73542.236,報告なし,19900910,宮崎県,延岡市
TR44931064401,四等三角点,頼,１,鶴山,○,20250401,世界測地系（測地成果2024）,324203.2654,1314829.5074,222.45,,,2,-32877.887,75775.840,報告なし,19790719,宮崎県,延岡市
TR44931065201,四等三角点,Ｋ亜,１,黒岩峠,○,20250401,世界測地系（測地成果2024）,324238.3951,1314638.3420,512.12,,,2,-31817.415,72872.616,報告なし,19980830,宮崎県,延岡市
TR44931065301,四等三角点,朝,１,蝉谷,○,20250401,世界測地系（測地成果2024）,324258.7717,1314755.4431,399.21,,,2,-31174.819,74875.757,正常,20031031,宮崎県,延岡市
TR44931065501,四等三角点,朝,２,役場,○,20250401,世界測地系（測地成果2024）,324234.6746,1314917.3933,23.70,,,2,-31900.788,77015.531,正常,20040806,宮崎県,延岡市
TR44931066101,四等三角点,Ｋ洋,１,惣別当,○,20250401,世界測地系（測地成果2024）,324327.5042,1314556.1393,141.97,,,2,-30312.681,71762.647,報告なし,19980830,宮崎県,延岡市
TR44931066501,四等三角点,Ｋ応,１４,中野内,○,20250401,世界測地系（測地成果2024）,324312.4483,1314855.4909,234.50,,,2,-30741.624,76436.189,報告なし,19810911,宮崎県,延岡市
TR44931066601,四等三角点,Ｋ応,１６,市振,○,20250401,世界測地系（測地成果2024）,324302.8482,1314951.7360,161.17,,,2,-31025.967,77903.096,正常,20040806,宮崎県,延岡市
TR44931066801,四等三角点,Ｋ応,１５,展望台,○,20250401,世界測地系（測地成果2024）,324311.5782,1315143.1986,187.21,,,2,-30733.870,80803.421,報告なし,19810911,宮崎県,延岡市
TR44931067401,四等三角点,Ｋ応,１３,本村,○,20250401,世界測地系（測地成果2024）,324333.4212,1314816.2090,571.29,,,2,-30103.400,75408.409,報告なし,19810911,宮崎県,延岡市
TR44931067701,四等三角点,Ｋ応,１１,地下２,○,20250401,世界測地系（測地成果2024）,324336.8653,1315022.1892,321.97,,,2,-29971.865,78687.803,報告なし,19810911,宮崎県,延岡市
TR44931067801,四等三角点,Ｋ応,１２,直海,○,20250401,世界測地系（測地成果2024）,324341.0033,1315116.4245,208.77,,,2,-29833.111,80098.927,報告なし,19810911,宮崎県,延岡市
TR44931068301,四等三角点,Ｋ応,１０,歌糸,○,20250401,世界測地系（測地成果2024）,324418.4843,1314724.4893,443.72,,,2,-28725.425,74051.399,報告なし,19810911,宮崎県,延岡市
TR44931069001,四等三角点,瑠,１,市ノ内山,○,20250401,世界測地系（測地成果2024）,324445.8570,1314506.8245,510.78,,,2,-27908.332,70461.459,正常,20031031,宮崎県,延岡市
TR44931069201,四等三角点,Ｋ応,９,内谷,○,20250401,世界測地系（測地成果2024）,324449.7924,1314648.6365,511.68,,,2,-27767.939,73110.906,報告なし,19810911,宮崎県,延岡市
TR44931069401,四等三角点,群,２,池田,○,20250401,世界測地系（測地成果2024）,324441.0905,1314815.1432,220.28,,,2,-28019.147,75364.836,正常,20111115,宮崎県,延岡市
TR44931069501,四等三角点,Ｋ応,８,蓬原,○,20250401,世界測地系（測地成果2024）,324456.6382,1314923.5812,281.24,,,2,-27526.532,77142.706,正常,20111115,宮崎県,延岡市
TR44931069502,四等三角点,Ｋ干,２,竹ノ水流,○,20250401,世界測地系（測地成果2024）,324439.1913,1314855.7805,186.35,,,2,-28069.561,76423.165,正常,20111024,宮崎県,延岡市
TR44931069601,四等三角点,群,３,橋ケ谷,○,20250401,世界測地系（測地成果2024）,324433.8780,1315005.2513,295.06,,,2,-28219.143,78232.946,正常,20111115,宮崎県,延岡市
TR44931140701,四等三角点,Ｋ中,２,井手ノ谷山,○,20250401,世界測地系（測地成果2024）,324513.8524,1313530.5048,768.62,,,2,-27141.148,55454.184,報告なし,20040818,宮崎県,延岡市
TR44931141701,四等三角点,Ｋ総,１,北ノ平山,○,20250401,世界測地系（測地成果2024）,324545.3166,1313516.6391,570.08,,,2,-26173.961,55087.892,正常,20060809,宮崎県,延岡市
TR44931142901,四等三角点,Ｋ中,１,飛瀬山,○,20250401,世界測地系（測地成果2024）,324615.6442,1313721.9139,279.09,,,2,-25221.127,58342.866,報告なし,20040818,宮崎県,延岡市
TR44931150001,四等三角点,Ｋ昭,１,躑躅谷山,○,20250401,世界測地系（測地成果2024）,324528.7470,1313806.8866,373.17,,,2,-26658.761,59521.910,正常,20040630,宮崎県,延岡市
TR44931150301,四等三角点,Ｋ昭,２,畑葉山,○,20250401,世界測地系（測地成果2024）,324508.7566,1314018.3072,639.42,,,2,-27253.423,62946.426,正常,20031031,宮崎県,延岡市
TR44931150501,四等三角点,Ｋ洋,３,十亀山,○,20250401,世界測地系（測地成果2024）,324519.1543,1314115.3027,560.84,,,2,-26923.616,64427.920,報告なし,20011220,宮崎県,延岡市
TR44931150801,四等三角点,Ｋ甲,５,松瀬,○,20250401,世界測地系（測地成果2024）,324526.9149,1314334.8768,222.10,,,2,-26660.307,68059.236,報告なし,19810627,宮崎県,延岡市
TR44931152501,四等三角点,Ｋ洋,１,鐙,○,20250401,世界測地系（測地成果2024）,324604.9832,1314159.5881,179.27,,,2,-25504.374,65571.285,正常,20031216,宮崎県,延岡市
TR44931152701,四等三角点,Ｋ甲,４,池ノ原,○,20250401,世界測地系（測地成果2024）,324615.6258,1314303.8315,415.19,,,2,-25165.348,67241.007,報告なし,19810709,宮崎県,延岡市
TR44931152901,四等三角点,Ｋ洋,２,抱石,○,20250401,世界測地系（測地成果2024）,324605.3631,1314427.6847,191.99,,,2,-25466.440,69425.446,正常,20121026,宮崎県,延岡市
TR44931153801,四等三角点,Ｋ甲,３,下塚,○,20250401,世界測地系（測地成果2024）,324645.1097,1314359.2952,325.81,,,2,-24247.243,68678.122,正常,20121027,宮崎県,延岡市
TR44931154701,四等三角点,Ｋ甲,２,松葉,○,20250401,世界測地系（測地成果2024）,324707.9991,1314254.2697,361.20,,,2,-23553.745,66981.267,正常,20031216,宮崎県,延岡市
TR44931154801,四等三角点,Ｋ場,２,船ケ内山,○,20250401,世界測地系（測地成果2024）,324719.8064,1314349.3904,206.99,,,2,-23180.240,68413.002,正常,20120930,宮崎県,延岡市
TR44931160301,四等三角点,群,１,日知屋,○,20250401,世界測地系（測地成果2024）,324522.3644,1314727.8332,365.37,,,2,-26757.032,74123.757,正常,20111115,宮崎県,延岡市
TR44931160401,四等三角点,Ｋ干,１,黒沢,○,20250401,世界測地系（測地成果2024）,324523.7600,1314823.8652,279.80,,,2,-26703.039,75581.877,正常,20111024,宮崎県,延岡市
TR44931160601,四等三角点,Ｋ応,７,土々呂,○,20250401,世界測地系（測地成果2024）,324523.3650,1315003.1464,484.74,,,2,-26695.184,78166.142,報告なし,19810909,宮崎県,延岡市
TR44931161101,四等三角点,Ｋ応,４,走水,○,20250401,世界測地系（測地成果2024）,324552.3023,1314624.8172,173.82,,,2,-25846.952,72476.789,報告なし,19810912,宮崎県,延岡市
TR44931161102,四等三角点,Ｋ応,６,下塚,○,20250401,世界測地系（測地成果2024）,324530.6095,1314546.1568,323.09,,,2,-26522.472,71475.415,報告なし,19810911,宮崎県,延岡市
TR44931161301,四等三角点,Ｋ応,５,仏の越,○,20250401,世界測地系（測地成果2024）,324548.1250,1314759.3039,221.79,,,2,-25957.355,74936.908,報告なし,19810912,宮崎県,延岡市
TR44931162401,四等三角点,頼,３,丸山,○,20250401,世界測地系（測地成果2024）,324622.3125,1314840.4991,177.00,,,2,-24896.090,76001.015,報告なし,19790727,宮崎県,延岡市
TR44931162601,四等三角点,頼,４,赤木,○,20250401,世界測地系（測地成果2024）,324602.5284,1314934.6734,354.96,,,2,-25494.611,77415.607,報告なし,19790724,宮崎県,延岡市
TR44931162701,四等三角点,Ｋ応,３,市尾内,○,20250401,世界測地系（測地成果2024）,324600.9948,1315047.5500,383.59,,,2,-25526.865,79312.649,報告なし,19810912,宮崎県,延岡市
TR44931163101,四等三角点,Ｋ応,２,小長谷,○,20250401,世界測地系（測地成果2024）,324637.0976,1314603.5640,404.17,,,2,-24471.116,71913.638,報告なし,19810912,宮崎県,延岡市
TR44931163401,四等三角点,頼,２,奥川内,○,20250401,世界測地系（測地成果2024）,324644.1513,1314807.0788,252.00,,,2,-24229.999,75126.187,報告なし,19790724,宮崎県,延岡市
TR44931164001,四等三角点,Ｋ場,１,波帰ノ内山,○,20250401,世界測地系（測地成果2024）,324725.5598,1314515.5747,562.62,,,2,-22987.279,70654.185,正常,20121001,宮崎県,延岡市
TR44931164501,四等三角点,頼,１,笛ノ水流,○,20250401,世界測地系（測地成果2024）,324719.1488,1314851.6321,253.44,,,2,-23143.084,76277.267,報告なし,19790727,宮崎県,延岡市
TR44931164701,四等三角点,Ｋ福,６,樋掛,○,20250401,世界測地系（測地成果2024）,324711.4754,1315058.1075,381.09,,,2,-23353.579,79569.988,報告なし,20020926,宮崎県,延岡市
TR44931165301,四等三角点,Ｋ応,１,小原,○,20250401,世界測地系（測地成果2024）,324731.4611,1314734.0536,496.61,,,2,-22779.149,74255.878,報告なし,19810911,宮崎県,延岡市
TR44931165601,四等三角点,Ｋ福,５,椎木谷,○,20250401,世界測地系（測地成果2024）,324736.0128,1315009.5216,442.78,,,2,-22607.797,78299.804,報告なし,20020926,宮崎県,延岡市
TR44931166401,四等三角点,Ｋ航,４,白樫窪,○,20250401,世界測地系（測地成果2024）,324818.0953,1314825.0177,443.05,,,2,-21332.603,75570.923,報告なし,20000125,宮崎県,延岡市
TR44931167301,四等三角点,Ｋ航,３,勘掛,○,20250401,世界測地系（測地成果2024）,324842.1549,1314720.6379,510.75,,,2,-20604.110,73890.576,報告なし,20000125,宮崎県,延岡市
TR44931167401,四等三角点,Ｋ航,２,荒内,○,20250401,世界測地系（測地成果2024）,324854.6585,1314827.9453,495.11,,,2,-20205.727,75638.479,報告なし,20000125,宮崎県,延岡市
TR44931167601,四等三角点,Ｋ福,３,木内山,○,20250401,世界測地系（測地成果2024）,324838.2360,1314946.0148,436.44,,,2,-20695.883,77673.169,報告なし,20020926,宮崎県,延岡市
TR44931167701,四等三角点,Ｋ福,４,三川内,○,20250401,世界測地系（測地成果2024）,324836.1308,1315042.6406,552.07,,,2,-20749.065,79146.700,報告なし,20020926,宮崎県,延岡市
TR44931167801,四等三角点,Ｋ福,２,塩見山,○,20250401,世界測地系（測地成果2024）,324840.7907,1315134.7442,554.43,,,2,-20594.594,80500.920,報告なし,20020926,宮崎県,延岡市
TR44931168601,四等三角点,Ｋ福,１,木和田,○,20250401,世界測地系（測地成果2024）,324912.8553,1315001.3149,572.12,,,2,-19626.333,78062.762,報告なし,20020926,宮崎県,延岡市
TR44931169501,四等三角点,Ｋ航,１,祝楠,○,20250401,世界測地系（測地成果2024）,324941.0052,1314855.3407,604.70,,,2,-18772.586,76340.066,正常,20031031,宮崎県,延岡市
